product_id;price;product;brand;unit_price;units;categories;discount;date
39997;1.09;DIA NUESTRA ALACENA paté a la pimienta tarro 125 gr;DIA NUESTRA ALACENA;8.72;€/Kg.;['Despensa', 'Patés y foies'];;2023-03-26
38244;2.69;COLGATE pasta dentífrica max white con micro cristales blancos tubo 75 ml;COLGATE;35.87;€/l.;['Cuidado personal', 'Cuidado bucal'];50%;2023-03-26
65364;4.99;MAGNUM helado mini bombón mix caja 6 + 2 uds 356 gr;MAGNUM;14.02;€/Kg.;['Congelados', 'Helados'];;2023-03-26
166529;4.99;KIKKOMAN salsa de soja botella 250 ml;KIKKOMAN;19.96;€/l.;['Despensa', 'Salsas', 'Mayonesa y otras salsas'];;2023-03-26
160739;2.25;SANEX desodorante dermo invisible roll on 50 ml;SANEX;45.0;€/l.;['Cuidado personal', 'Baño e higiene personal', 'Desodorantes'];;2023-03-26
282910;4.15;ASEVI perfumador líquido para ropa green botella 720 ml;ASEVI;5.76;€/l.;['Cuidado del hogar', 'Cuidado de la ropa'];;2023-03-26
116091;2.95;ORBIT chicle grageas sabor menta fuerte paquete 5 uds;ORBIT;0.59;€/ud.;['Despensa', 'Desayunos y dulces', 'Caramelos. chicles y golosinas'];;2023-03-26
120271;9.95;DELIAL Ambre solaire aceite solar protector dorado sublime spf 20 spray 150 ml;DELIAL;66.33;€/l.;['Cuidado personal', 'Cuidado corporal', 'Crema solar'];;2023-03-26
189186;2.29;ALBO atún claro en aceite de oliva lata 67 gr;ALBO;34.18;€/Kg.;['Despensa', 'Conservas', 'Conservas de pescado'];;2023-03-26
274010;2.39;Huevos frescos de gallinas criadas en suelo categoría A clase M estuche 12 uds;;0.2;€/ud.;['Despensa', 'Lácteos y huevos', 'Huevos'];;2023-03-26
275122;0.95;Tomate Monterosa unidad (250 gr aprox.);;3.79;€/Kg.;['Frescos', 'Verduras y hortalizas', 'Tomates. pimientos y pepinos'];;2023-03-26
907;1.99;BOLLYCAO Dips palitos con chocolate vaso 52 gr;BOLLYCAO;38.27;€/Kg.;['Despensa', 'Desayunos y dulces', 'Bollería'];;2023-03-26
238472;1.79;CAREFREE protege slips flexiconfort cotton fresh caja 20 uds;CAREFREE;0.09;€/ud.;['Cuidado personal', 'Cuidado íntimo'];;2023-03-26
147140;2.39;RED BULL bebida energética lata 47.3 cl;RED BULL;5.05;€/l.;['Bebidas', 'Bebidas isotónicas y energéticas'];;2023-03-26
291097;2.39;SCHWARZKOPF champú 7 hierbas bote 400 ml;SCHWARZKOPF;5.98;€/l.;['Cuidado personal', 'Baño e higiene personal', 'Champús'];;2023-03-26
274054;2.55;DIA NUESTRA ALACENA jamón serrano gran reserva 50% Duroc envase 90 gr;DIA NUESTRA ALACENA;28.33;€/Kg.;['Frescos', 'Charcutería y quesos', 'Curados'];;2023-03-26
283055;4.29;MAGNUM helado bombón almendra remix pack 3 uds 198 gr;MAGNUM;21.67;€/Kg.;['Congelados', 'Helados'];;2023-03-26
60110;1.89;DIA bolsita perfumada aroma rosas caja 3 uds;DIA;0.63;€/ud.;['Cuidado del hogar', 'Ambientadores'];;2023-03-26
152811;3.79;SANEX gel de ducha biome protect pro hydrate piel muy seca bote 550 ml;SANEX;5.83;€/l.;['Cuidado personal', 'Baño e higiene personal', 'Geles de duchas y esponjas'];;2023-03-26
261238;2.95;SELECCIÓN DE DIA preparado de carne picada de cerdo bandeja 500 gr;SELECCIÓN DE DIA;5.9;€/Kg.;['Frescos', 'Carne', 'Cerdo'];;2023-03-26
